"id","jira_parent_id","candidate_id","project_id","ticket_number","interview_number","interview_type","interview_technology","interview_language","interview_seniority_level","task_status","task_created_date","interview_date","subjective_readiness","interviewer_comment"
571,,441,,SE-28027,2,SOFT,,ENGLISH,,CANCELED,"2022-06-23 08:45:04",,,
572,,1897,,SE-27366,1,SOFT,,ENGLISH,,RESOLVED,"2022-06-16 03:26:31","2022-06-21 04:00:00",71.0,"Oleksandr appears to be a nice and friendly person, open for communication and discussion, still I would recommend to work a bit more on self-presentation structure, as it will help to make your speach easier to follow, your experience will become clear, logical and detailed enough. Remember to give more information about 2 latest projects, speak about your role, the team, challenges, etc. From the language point there are some moments to pay attention to: 1)value vs valuable (noun vs adjective); 2)comparative degree of adjectives (easIER, without the word'more')  3)difference between Present Simple and Present Continuous, Past Simple vs Past Continuous  4)remember to Present Perfect when talking about experience in general.			"
573,,1897,,SE-27762,2,SOFT,,ENGLISH,,RESOLVED,"2022-06-21 05:00:12","2022-06-23 05:00:00",80.0,"The overall impression of the conversation is positive, the candidate is a great professional, with extensive professional background and experience; also with quite good communication skills: he's friendly and open to communication, can support small talk and establish rapport with the interviewer; self-presentation is well-done. I would recommend the candidate to give more elaborate answers to the questions, add more details; and think over the answers to the following questions: ""What do you consider to be your greatest professional achievement?""/ ""How would you describe your personality in 3 words?""; also don't forget to keep eye contact during the interview. In general, I can say the candidate is ready for the job interview in English.			"
574,,4664,,SE-28554,1,SOFT,,ENGLISH,,RESOLVED,"2022-06-30 08:39:59","2022-07-06 08:00:00",85.0,"""The candidate has taken into account the previous comments and is now ready for the interview. 
His English is reasonably accurate and fluent.""			"
575,,11757,,SE-28046,1,SOFT,,ENGLISH,,RESOLVED,"2022-06-23 09:57:21","2022-06-24 06:00:00",85.0,"The candidate is ready for an interview with the customer after small improvements. Most of the blocks and skills are are of a high level, but some minor improvements are needed - try to use phrases like 'Let me see..Well..As far as I'm concerned...' with the tricky questionns to win yourself some time to think the answer through and use bare infinitive (no 'to') after should e.g. should do, should decide, etc.			"
576,,11757,,SE-28785,2,SOFT,,ENGLISH,,RESOLVED,"2022-07-04 09:45:31","2022-07-06 04:15:00",70.0,"""The candidate has put his effort in order to perform well in the mock-interview. He dealt with the most of the questions well. Though he's got quite strong slavic accent and his English isn't very fluent so the customer might find it hard to communicate with him.
I'd recommend that he is more specific in answering the questions: give details, try to show his strengths throughout the interview; give examples and tell what problems he's solved (STAR approach).
It would be good to rehearse the self-presentation to sound more fluent and to prepare some more questions for the customer in case they speak about the project and the team in their self-presentation.
The candidate's computer was broken and we had a call via his phone - so I was unable to assess the last block of questions. The candidate assured me he would have his computer fixed for the real interview.""			"
577,,11757,,SE-29015,3,SOFT,,ENGLISH,,RESOLVED,"2022-07-06 06:44:51","2022-07-08 05:00:00",78.0,"""The candidate’s English and answers have improved and he is almost ready for the interview. Should use a PC or a laptop and have one more run. Here are some recommendations:
1)should remember the STAR plan while talking about the situations on the projects (S- situation, T-task, A- activity, R-result) and be ready to give examples about your biggest success, the biggest challenge and a negative situation;
2)do not forget to use closing phrases such as ‘That’s it/ That’s all I wanted to say / I am ready to answer your other questions’ etc.; (should not use ‘something like this’ phrase);
3)should give more details while talking about your strength and when answering the question 'Why are you good for this position?' (the example is in the chat);
4)should use the PC or laptop at the interview so the camera is stable;
5)Should pay attention to the word ‘knowledge’ (it is used without -s as it is uncountable) and to the phrases ‘work AS a developer’ etc (not ‘like a developer’).
Good luck at the real interview with the customer!""			"
578,,11757,,SE-30046,4,SOFT,,ENGLISH,,FOUND_A_TEACHER,"2022-07-18 06:48:12","2022-07-19 04:00:00",,
579,,11757,,SE-27703,5,SOFT,,ENGLISH,,RESOLVED,"2022-06-20 10:35:12",,,"Alexey is 80% ready for an inteview. Open, easy going, presents himself well and is ready to give deailed description of his expreince. In terms of the language: needs to be more attentive to the pronunciation of the words. "
580,,11757,,SE-27667,6,SOFT,,ENGLISH,,CANCELED,"2022-06-20 09:12:46",,,
581,,11757,,SE-26738,7,SOFT,,ENGLISH,,RESOLVED,"2022-06-08 10:08:57",,,"Alexey is 80% ready for an inteview. Open, easy going, presents himself well and is ready to give deailed description of his expreince. In terms of the language: needs to be more attentive to the pronunciation of the words. "
582,,12189,,SE-27520,1,SOFT,,ENGLISH,,RESOLVED,"2022-06-17 05:53:29","2022-06-22 03:00:00",70.0,"""The candidate is a professional with extensive experience and background. He tries to be focused and does his best to keep the conversation going. He can use closing expressions. Yet, I would also recommend him to work on the following action points: 1) expand his self-presentation and follow the pattern in the Skype chat; 2) focus on HIS roles and responsibilities on the projects; 3) make sure that he can provide work related cases to describe his strengths; 4) remember to use a polite way of asking questions (see the patterns in the chat). Besides, he is recommended to use fillers to expand his utterances (see them in the chat).
In general, I believe he needs one more interview simulation to structure his self-presentation and use linking expressions to sound more proficient. Do your best and good luck!""			"
583,,12189,,SE-28127,2,SOFT,,ENGLISH,,RESOLVED,"2022-06-24 09:23:51","2022-06-28 05:00:00",80.0,"The overall impression of the conversation is positive, the candidate is a great professional, with extensive professional background and experience; also with quite good communication skills: he can support small talk, provides elaborate answers to the questions; self-presentation is well-done. The candidate has taken into account all the remarks from the previous training interview and improved these points. The only thing I can recommend  the candidate is to smile more and show your enthusiasm and openness to communication. In general, I can say the candidate is ready for the job interview in English.			"
584,,12189,,SE-29087,3,SOFT,,ENGLISH,,RESOLVED,"2022-07-06 13:30:02","2022-07-07 04:10:00",80.0,"""The candidate has good English and is ready for the interview. There are some tips to pay attention to:

1)should be ready for the small talk (about the weather etc), be positive and make sure to ask the ‘How are you?’ question back; 
2)should remember the structure of self-presentation and follow it; 
3)should think about the situations (the biggest challenge, the biggest success and a negative situation) using the STAR plan in the chat(S- situation, T-task, A- activity, R-result);
4)do not forget to use closing phrases such as ‘That’s it/ That’s all I wanted to say / I am ready to answer your other questions’ etc. 

In general, the candidate sounds professional and prepared.
Good luck at your real interview with the customer!""			"
585,,12189,,SE-29022,4,SOFT,,ENGLISH,,RESOLVED,"2022-07-06 07:49:48","2022-07-07 04:10:00",80.0,"""The candidate has good English and is ready for the interview. There are some tips to pay attention to:

1)should be ready for the small talk (about the weather etc), be positive and make sure to ask the ‘How are you?’ question back; 
2)should remember the structure of self-presentation and follow it; 
3)should think about the situations (the biggest challenge, the biggest success and a negative situation) using the STAR plan in the chat(S- situation, T-task, A- activity, R-result);
4)do not forget to use closing phrases such as ‘That’s it/ That’s all I wanted to say / I am ready to answer your other questions’ etc. 

In general, the candidate sounds professional and prepared.
Good luck at your real interview with the customer!""			"
586,,7348,,SE-29635,1,SOFT,,ENGLISH,,RESOLVED,"2022-07-13 05:52:26","2022-07-15 03:00:00",87.0,"Maksym is a strong candidate with nice soft skills, he is open, friendly and ready to keep the conversation going. He has well-structured self-presentation, which contains all relevant and necessary information. Maksym's English level is enough for speaking with the interviewer on any topic. Still there are some points to pay attention to:1)remember to ask polite return questions to the interviewer  2)keep at least 70% of eye-contact  3)try to generate at least 4-5 questions to the customer in advance  4)we use Present perfect for sth that started in the past and is still true/going on. I wish Maksym good luck!			"
587,,1431,,SE-28901,1,SOFT,,ENGLISH,,RESOLVED,"2022-07-05 07:25:22","2022-07-06 09:00:00",85.0,"""Kseniya has got a brilliant self-presentation and demonstrates a good level of soft skills: she manages to establish rapport with her interlocutor, handles all questions well and presents herself in a good light.
I'd just recommend avoiding politics while answering the question about the reasons to leave the current project as well as softening the message (avoid being too direct) if asked about some problems or difficulties in her experience.
Regarding the English language, Kseniya speaks fluently and reasonably accurately. There are a few words that she tends to mispronounce (they are listed above).""			"
588,,4515,,SE-29857,1,SOFT,,ENGLISH,,IN_PROGRESS,"2022-07-14 11:14:50",,,
589,,11302,,SE-29155,1,SOFT,,ENGLISH,,IN_PROGRESS,"2022-07-07 10:19:42",,,
590,,7696,,SE-27951,1,SOFT,,ENGLISH,,RESOLVED,"2022-06-22 13:07:08","2022-06-24 09:30:00",81.0,"The candidate is ready for an interview with the customer after small improvements. Most of the blocks and skills are are of a high level, but some minor improvements are needed - keep your self-presentation within the 4-5 min limit and remember the mention the ways you work on your weaknesses in			"
591,,1013,,SE-27950,1,SOFT,,ENGLISH,,RESOLVED,"2022-06-22 12:57:50","2022-06-27 08:00:00",90.0,"Karina is a strong candidate with outstanding soft skills! Her self-presentation and speech about her work experience was full of details, enthusiasm, examples and personal touch. She has clear understanding of what she does, where she wants to develop and how to achieve her aims. Karina is genuinely interested in everything she is involved into. The candidate's English is very good and fluent. I wish Karina good luck!			"
592,,2997,,SE-27121,1,SOFT,,ENGLISH,,RESOLVED,"2022-06-14 04:32:10","2022-06-21 04:12:00",86.0,"Oleg is a strong candidate with good soft skills. He kept to the self-presentation structure, provided all necessary information and described his previous work experience in details. I recommend Oleg not to forget about asking back questions to the interviewer. just to establish greater rapport. Some linguistic points to pay attention to:  1)when you talk about your experience in general it's necessary to use Present Perfect   2)we use ""few""  not ""less"" with countable nouns. I wish Oleg good luck at hid future interviews!			"
593,,2601,,SE-28740,1,SOFT,,ENGLISH,,RESOLVED,"2022-07-04 06:15:57","2022-07-05 06:00:00",89.0,"Ivan is a candidate with great soft skills, well-structured and detailed self-presentation and high English level which enables him to talk on any topic without problems. All the information was relevant and was presented in a logical way. Some points to pay attention to: 1)pronunciation of the words ' Europeans/ colleague'  2)remember that the verb 'to exist' is a stative one  3)take care with the difference between Present Perfect and Past Simple tenses. I wish Ivan good luck!			"
594,,4158,,SE-28146,1,SOFT,,,,RESOLVED,"2022-06-24 10:46:56","2022-06-28 06:00:00",90.0,"Михаил с первых секунд располагает к себе, позитивный, ""заряжен"". Soft skill - коммуникация на высоком уровне. В своей самопрезентации отлично раскрывает развитие как профессионала и карьерное продвижение на проектах, прекрасно подчеркнуты сильные стороны, подкреплены примерами конкретных задач\обязанностей на проектах и их успешной реализацией с пользой для бизнеса, приведены примеры дополнительных задач и обязанностей, в том числе опыт Lead. Подача уверенная и динамичная. Чувствуется основательный  реальный опыт.  Обсудили что слегка можно скорректировать в самопрезентации, чтобы сохранить правильные акценты и немного сократить по времени. Михаил заинтересован в подготовке, задавал вопросы и принимал рекомендации. Проработали дополнительные вопросы, развернуто на них отвечает не теряя при это сути ответа.  Также проработали ряд вопросов уровня  Team Lead, чувствуется, что может быть эффективным  лидом. Рекомендации:1. Скорректировать самопрезентацию так как обсудили (начальную часть  и про Time skills), по времени примерно 5-7 мин. 2.Чётче подчеркнуть свой релевантный стек. 3. Слегка скорректтровать скорость подачи самопрезентации. Желаю успеха на собеседовании с заказчиком! Просьба к РМ: если возможно, предоставить Михаилу дополнительную информацию о проекте.			"
595,,910,,SE-29169,1,SOFT,,ENGLISH,,RESOLVED,"2022-07-07 11:01:47","2022-07-11 10:00:00",65.0,"Oleksii is a candidate with good experience and quite nice English level. Still there are some points for improvement:  1)remember to ask polite return questions to the interviewer  2)try to provide as extensive answers as possible, not just 1-2 words  3)when you need some time to think over the question, say 'Let me think/ oh, that's a good question...'  4)some language points :1.contain vs consist  2. belong to vs related to  3.Business analyst - mind the pronunciation. I wish Oleksii good luck!			"
596,,910,,SE-29436,2,SOFT,,ENGLISH,,RESOLVED,"2022-07-11 10:51:21","2022-07-12 08:45:00",80.0,"""The candidate has improved his performance and prepared an informative self-presentation as well as good questions for the customer. 
His English is a bit faulty but generally well comprehensible.
I'd recommend being careful with """"tricky"""" negative questions: it's preferable to finish answering them by something positive to highlight one's strengths (e.g. problem-solving skills or experience gained).
Regarding the internet connection I'd like to highlight that there were some occasional lags, though they weren't critical.""			"
597,,2722,,SE-27927,1,SOFT,,ENGLISH,,RESOLVED,"2022-06-22 10:49:57","2022-06-23 08:00:00",69.0,"""The candidate is a professional with extensive experience and background; he tries to do his best when expressing his viewpoint. Yet there are some action points to work on: 1) follow the pattern of self-presentation given in the chat; 2) make sure that you are confident enough when dealing with your strengths description and provide some work related examples; 3) it is important to use questions for clarification if something is unclear; 4) it is recommended to avoid 'Yes/No' questions for the cutomer. Besides, it is necessary to think over the answer to the question about weakness and point out the ways he is working on them. I would also recommend him to learn a bit more information about the upcoming project if possible to feel confident in terms of the question 'Why are you a good fit for this position?'.
In general, I would recommend having one more interview simulation to gain confidence and make sure that the candidate has dealt with the action points mentioned above. Good luck!""			"
598,,2722,,SE-28069,2,SOFT,,ENGLISH,,RESOLVED,"2022-06-23 12:47:50","2022-06-27 06:00:00",81.0," The candidate is ready for an interview with the customer after small improvements. Most of the blocks and skills are are of a high level, but some minor improvements are needed - keep the eye contact and remember to mention the ways you are working on your weaknesses in			"
599,,2722,,SE-29146,3,SOFT,,ENGLISH,,CANCELED,"2022-07-07 09:33:57",,,
600,,4372,,SE-27690,1,SOFT,,ENGLISH,,RESOLVED,"2022-06-20 09:54:51","2022-06-24 06:00:00",68.0,"Tofic is not ready for the job interview with a customer in English. Here are some points to pay attention to: 1)I recommend working on the self-presentation structure, as Tofic's presentation was very brief, in addition to that I advise to plan the speech about project experience beforehand in English, so that all information about stack, technologies is mentioned by the speaker himself  2)The candidate didn't seem to be interested in the talk/project/final result, I recommend being more enthusiastic about future opportunities  3)from the language part : we use Present Simple for characterics which are true now, Past Simple - for actions that finish in the past; mind pronunciation of the word 'component'   4)when you speak about best motivation at work - it's better not to mention money on the first place, stress your professional goals and ambitions  5)there were moment when you didn't know what to say - you may use some fillers 'Let me think/ This is a nice/difficult/challenging question...'  I recommend Tofic to pay attention to the recommendations and do his best!			"
601,,4372,,SE-28252,2,SOFT,,ENGLISH,,RESOLVED,"2022-06-27 09:56:33","2022-06-30 04:30:00",78.0,Tofik has improved a lot of the points mentioned by the previous interviewer. But still there are things to be improved: 1) expand your self-presentation with the info about the current project as the self-presentation was quite short in general; 2) when talking about serious difficulties - it's necessary to follow STAR model; 3) say how the work on the weaknesses is being done; 4) show interest while talking with the customer as well as while listening to the customer. 			
602,,4372,,SE-29599,3,SOFT,,ENGLISH,,IN_PROGRESS,"2022-07-12 14:34:37",,,
603,,10646,,SE-29888,1,SOFT,,ENGLISH,,CANCELED,"2022-07-14 14:12:52",,,
604,,3985,,SE-28972,1,SOFT,,ENGLISH,,RESOLVED,"2022-07-06 03:38:02","2022-07-11 09:00:00",88.0,"Vitaly is a candidate with nice soft skills and he is ready to keep the conversation going. He has well-structured self-presentation, it is detailed and has all relevant information. Vitaly's English level is good enough to support the conversation without any problems. Some points to pay attention to: 1)remember to ask polite return questions to the interviewer  2)avoid using the words 'kinda/like' 3)mind pronunciation of the words ' e-commerce, technique, function'. I wish Vitaly good luck!			"
605,,77,,SE-29807,1,SOFT,,ENGLISH,,CANCELED,"2022-07-14 06:30:51",,,
606,,800,,SE-27462,1,SOFT,,ENGLISH,,RESOLVED,"2022-06-16 10:52:41",,,"Aliaksander is 60% ready for an interview. Quite confident in giving his opinion, expanding on his experience. What to improve: use closing phrases (for example, at the end of the self-presentation); give more exact examples from his work experience. "
744,474,3470,195,SPT-15744,2,TECH,React,RUSSIAN,,DONE,"2022-07-19 07:18:06","2022-07-21 11:00:00",78.0,"Сильные стороны: Хорошая работа над ошибками

Слабые стороны: нехватка знаний по некоторым темам

"
745,439,,1284,SPT-15743,2,TECH,QAManual,RUSSIAN,M1,CANCEL,"2022-07-19 06:43:51","2022-07-21 10:10:00",,"Сильные стороны:

Слабые стороны:

"
746,425,7642,1340,SPT-15741,2,TECH,Java,RUSSIAN,M1,DONE,"2022-07-19 06:17:44","2022-07-20 06:00:00",70.0,"Сильные стороны:

Слабые стороны:
Нерелевантный опыт тестирования на предыдущем проекте, а точнее отсутствие тестирования, нужно догонять это теорией"
747,420,1687,1326,SPT-15740,2,TECH,Java,RUSSIAN,J2,DONE,"2022-07-19 06:04:17","2022-07-19 15:00:00",95.0,"Сильные стороны: Java core, Spring core, SQL

Слабые стороны:

"
748,546,,1272,SPT-15735,2,TECH,Java,ENGLISH,M3,DONE,"2022-07-18 16:04:30","2022-07-20 11:00:00",92.0,"Сильные стороны:
very good candidate
Слабые стороны:
some not so important gaps
"
749,563,1429,195,SPT-15734,2,TECH,Java,RUSSIAN,J1,DONE,"2022-07-18 15:40:56","2022-07-20 06:00:00",75.0,"Сильные стороны: Java Core, Spring

Слабые стороны: Jenkins, Ansible, ELK

"
750,193,12214,922,SPT-15732,3,TECH,React,ENGLISH,M2,DONE,"2022-07-18 14:42:31","2022-07-20 06:00:00",95.0,"Сильные стороны:
React App performance improvements
HTML improvements
Script async vs defer
Core Web Vitals metrics
Time to first byte
Critical path rendering
SSR
NextJs and performance improvement
Hydration 
getServerSideProps
getStaticPaths
getStaticProps
useRef vs useState
Promise
Img formats that are better for web usage

Слабые стороны:
React Context vs Redux
"
751,378,,940,SPT-15731,2,TECH,QAManual,RUSSIAN,S1,DONE,"2022-07-18 14:39:38","2022-07-19 06:00:00",55.0,"Сильные стороны: не выявлено

Слабые стороны: плохая самопрезентация, с api задачами справился частично, с sql задачами не справился совсем, теория тоже слабая. Несмотря на то, что работал со многими инструментами (например, аналог redis - mongoDB), рассказать без подсказки не смог. Опыт менторства есть

"
752,581,4550,92,SPT-15729,2,TECH,QAAutomationCsharp,ENGLISH,M1,DONE,"2022-07-18 14:11:55","2022-07-20 13:30:00",90.0,"Сильные стороны: good theoretical  knowledge and  practice, he is rather confident on an  interview

Слабые стороны: lack of knowledge - DB  - explaining on English some basic topics

"
753,513,10974,,SPT-15728,2,TECH,React,ENGLISH,M1,DONE,"2022-07-18 13:52:52","2022-07-19 11:00:00",95.0,"Сильные стороны:
Good level of knowledge, confident answers.

Слабые стороны:
Small knowledge gaps on some topics: Optimization, TypeScript

"
754,587,,940,SPT-15726,2,TECH,PHP,RUSSIAN,M2,DONE,"2022-07-18 13:38:26","2022-07-19 12:00:00",95.0,"Сильные стороны:

Отличная теоретическая подготовка, понимание работы с симфони и правильной архитектуры приложений

Слабые стороны:

Не стоит выражать сомнения по поводу задаваемых вопросов, стараться поменьше спорить
"
755,258,112,,SPT-15725,4,TECH,Java,ENGLISH,M3,DONE,"2022-07-18 13:32:47","2022-07-20 07:00:00",40.0,"Сильные стороны: git, docker, sql

Слабые стороны: spring, hibernate, patterns, java core, concurrency, architecture

"
756,578,6073,639,SPT-15723,2,TECH,ProjectManagement,ENGLISH,J3,DONE,"2022-07-18 13:24:44","2022-07-19 14:00:00",70.0,"Сильные стороны: 
Fluent English
Relevant experience and good overall SDLC understanding

Слабые стороны:
Poor self-presentation and promotion (more of team-based)
Lack of concrete examples and PM artefacts mentioned
"
757,191,,1284,SPT-15721,3,TECH,QAManual,RUSSIAN,,DONE,"2022-07-18 13:11:56","2022-07-20 06:00:00",97.0,"Сильные стороны: самопрезентация, процессы на проекте, теория

Слабые стороны: есть небольшие пробелы в практике, но путем размышлений выходит на правильный ответ

Больше прогонов не нужно, пару моментов просто повторить.  Станислав высказал негатив по поводу прогонов. Лучше быстрее заслать его на собес

"
758,375,609,,SPT-15717,3,TECH,Java,ENGLISH,S2,DONE,"2022-07-18 12:38:48","2022-07-20 12:00:00",65.0,"Сильные стороны: the same as before

Слабые стороны: the same as before

"
759,523,2605,351,SPT-15714,1,TECH,SystemAnalyst,RUSSIAN,M1,DONE,"2022-07-18 11:54:37","2022-07-19 09:30:00",55.0,"Сильные стороны: SOAP

Слабые стороны: BPMN, микросервисная архитектура, REST

"
760,517,,,SPT-15713,2,TECH,Ruby,ENGLISH,,DONE,"2022-07-18 11:45:58","2022-07-20 14:00:00",96.0,"Сильные стороны:
Кандидат хорошо разбирается в разработке на Ruby on Rails. Есть опыт и понимание в тестировании, менеджменте БД. Знаком с Git flow, A/B testing. Имеет опыт написания FE как в Rails, так и на Angular & AngularJS фреймворках. В целом покрытие тем очень хорошее. 

Слабые стороны:
Eсть незначитальные пробелы в некоторых темах: Polymorphic associations, Ci/CD, agile development proccess, git merge vs git rebase

"
761,373,,793,SPT-15712,2,TECH,dotNET,ENGLISH,M3,DONE,"2022-07-18 11:08:55","2022-07-19 12:00:00",100.0,"Сильные стороны:
Good understanding of .net in general

Слабые стороны:
Lack of hands-on experience with setting up CICD processes
"
762,510,7781,16,SPT-15711,1,TECH,Java,RUSSIAN,,DONE,"2022-07-18 11:04:12","2022-07-19 06:00:00",85.0,"Сильные стороны:
Хорошо рассуждает, комментирует при лайфкодинге
Слабые стороны:

"
763,466,7614,1389,SPT-15707,2,TECH,QAAutomationJava,RUSSIAN,,DONE,"2022-07-18 10:03:14","2022-07-19 10:00:00",65.0,"Сильные стороны: java core, тестирование апи, selenium

Слабые стороны: мобильное тестирование, cucumber, selenide
В целом кандидат понимает основные особенности мобильного тестирования, есть практический опыт работы с мобилками, нужны дополнительные прогоны и подготовка. 
"
764,102,,586,SPT-15705,3,TECH,NodeJs,ENGLISH,M3,DONE,"2022-07-18 09:54:01","2022-07-19 09:00:00",90.0,"Сильные стороны: Уверенно отвечает на вопросы по архитектуре, углубляется в детали, качественно и детально проводит сравнения сильных и слабых сторон различных подходов и технологий

Слабые стороны: Небольшие пробелы по архитектуре NodeJS как такового и по отдельным архитектурным понятиям"
765,349,32,66,SPT-15703,2,TECH,BusinessAnalyst,RUSSIAN,J2,DONE,"2022-07-18 09:35:28","2022-07-19 14:00:00",65.0,"Сильные стороны: Достаточно хорошо разбирается в Agile методологии. Хорошее понимание работы команды по Scrum. Есть опыт проектирования UML диаграмм. Хорошо знакома с методами сбора требований. Знакома с документацией, назвала основные и охарактеризовала разделы. Знает варианты документирования требований. Хорошо разбирается в структуре US и UC. Работала с ГОСТ 34. Хорошее знание нотации BPMN и опыт её применения. Развитые коммуникативные навыки, есть опыт программирования на PHP.

Слабые стороны: Критерии качества требований, принципы RESTfull API, протоколы взаимодействия работы брокера сообщений Kafka, функции СУБД, нормализация данных в реляционной БД, операторы манипуляции данных, операторы группировки данных, виды приложения, виды тестирования, функциональное тестирование (метод белого и черного ящика)

"
766,341,2794,,SPT-15702,4,TECH,Angular,RUSSIAN,,DONE,"2022-07-18 09:28:40","2022-07-19 06:00:00",90.0,"Сильные стороны:
Хорошие знание core JS и всех основных инструментов Angular. Хорошие знание changeDetection
Слабые стороны:
Путается с определением контекста выполения
"
767,350,12202,1218,SPT-15701,2,TECH,Java,ENGLISH,M2,DONE,"2022-07-18 09:23:18","2022-07-19 11:30:00",65.0,"Сильные стороны:
Very positive guy
Слабые стороны:
Terrible java core, thin knowledge in other core technologies
"
768,548,10646,,SPT-15700,4,TECH,DevOps,ENGLISH,M3,DONE,"2022-07-18 09:09:52","2022-07-18 14:00:00",70.0,"Сильные стороны: Terraform, AWS. 

Слабые стороны: Containers, kubernetes configuration, security

"
769,470,6670,195,SPT-15699,3,TECH,Java,RUSSIAN,,DONE,"2022-07-18 09:04:54","2022-07-19 12:00:00",65.0,"С прошлого раза уже получше, но все еще плавает в практических вопросах, а также на нестандартных теоретических
"
770,216,573,,SPT-15697,3,TECH,Angular,RUSSIAN,M1,DONE,"2022-07-18 08:27:39","2022-07-19 10:00:00",90.0,"Сильные стороны: Хорошие знания по многим темам, подтянул все что проговаривали на прошлой встрече. Приятный кандидат в общении

Слабые стороны: Нашлось пару пробелов в знаниях по JS, наиболее важный - наследование в ES5. Обсудили все, что нужно повторить
"
771,234,3851,954,SPT-15696,4,TECH,QAAutomationJava,ENGLISH,M3,DONE,"2022-07-18 08:25:14","2022-07-18 16:00:00",90.0,"Сильные стороны: Умеет слушать и работать над ошибками. Хороший опыт работы с разными инструментами и приложениями. Самопрезентация хорошая, ответы на вопросы правильные в основном. Задачу решил

Слабые стороны: Сложно выделить свою работу и рассказать про это. Но замечания услышал и улучшил свои ответы.

"
772,465,8497,195,SPT-15693,3,TECH,Java,RUSSIAN,,DONE,"2022-07-18 08:16:44","2022-07-19 14:00:00",50.0,"Сильные стороны: Java

Слабые стороны: docker, kubernetes, Kafka

"
773,545,3838,,SPT-15692,3,TECH,NodeJs,ENGLISH,J3,CANCEL,"2022-07-18 08:13:34","2022-07-19 06:00:00",,"Сильные стороны:

Слабые стороны:

"
774,454,760,259,SPT-15691,2,TECH,ProjectManagement,ENGLISH,M1,DONE,"2022-07-18 08:07:49","2022-07-18 12:00:00",60.0,"Сильные стороны: За счет продолжительного времени работы в ИТ много практических кейсов, знает как выйти из ситуаций в более выгодном положении. Приятный в общении, с ходу располагает к себе. 

Слабые стороны: Если в чем-то неуверен, или недостаточно знаком с темой, начинает лить много воды. Это и положительный и отрицательный момент: на вопрос отвечает, не молчит, но не получаешь конкретный ответ на свой вопрос и начинаешь терять суть разговора. 
Мало опыта работы с change management. Задачи больше рассматривает с точки зрения ПК

"
775,481,647,16,SPT-15690,3,TECH,Java,RUSSIAN,M3,CANCEL,"2022-07-18 08:04:33","2022-07-21 12:00:00",,"Сильные стороны:

Слабые стороны:

"
776,83,8468,,SPT-15689,3,TECH,NodeJs,ENGLISH,M2,CANCEL,"2022-07-18 08:04:18","2022-07-22 06:00:00",,"Сильные стороны:

Слабые стороны:

"
777,448,1080,983,SPT-15688,2,TECH,QA mobile,RUSSIAN,M2,DONE,"2022-07-18 08:02:27","2022-07-18 14:00:00",90.0,"Сильные стороны: Уверенно держался, приводил множество примеров из личного опыта, знаком с тестированием мобильных приложений и их особенностями.

Слабые стороны:
Необходимо углубиться в особенности архитектуры мобильных приложений на iOS и Android, не хватает практического опыта работы с мобильными приложениями на более глубоком уровне
"
778,393,10115,195,SPT-15686,2,TECH,React,RUSSIAN,,DONE,"2022-07-18 07:54:20","2022-07-19 12:00:00",65.0,"Сильные стороны: Общие вопросы(ооп, фп, работа с запросами)

Слабые стороны: заходит издалека, когда можно назвать четкие пункты, решение практических задач(повторить методы массивов, строк, и побольше попрактиковаться)

"
779,507,,,SPT-15685,4,TECH,dotNET,ENGLISH,M2,DONE,"2022-07-18 07:46:04","2022-07-20 09:00:00",85.0,"Сильные стороны:
.net basics, .net web api, SQL, Tests (Backend), React, Typescript, DDD,
NoSQL, SOLID, REST, Microservices
Слабые стороны:
Check Azure Key Vaults
Check how dictionary works under hood
Check GoF patterns
Check code smells
Check ESLint
Check Git Flow
Improve your technical English"
780,383,177,1272,SPT-15683,2,TECH,ProjectManagement,RUSSIAN,M3,DONE,"2022-07-18 07:42:05","2022-07-18 08:00:00",90.0,"Сильные стороны: Good understanding of the framework and relevant experience from previous projects to complement theory.

Слабые стороны: English level drops during the conversation. 
"
781,385,12716,164,SPT-15681,3,TECH,BusinessAnalyst,RUSSIAN,M2,DONE,"2022-07-18 07:30:55","2022-07-20 07:00:00",80.0,"Сильные стороны:
- Сильные коммуникативные навыки
- Чувствуется практический опыт и он релевантен
- Неплохо знаком с методами сбора требований, хотя на практическом кейсе по их применению не было уверенности.

Слабые стороны:
- Не знаком с SCRUM
- Не очень знаком с теорией Use Case и структурой Use Case
- Не знаком с GHERKIN
- Не знаком с UML (очень мало и только в теории)
- BPM - не смог назвать типы гейтов
- Не знает и не понимает ГОСТ 34 
- Не знаком с RPC протоколами
- Не знает принципов/ ограничений REST
"
782,400,,1389,SPT-15680,2,TECH,Android,ENGLISH,,CANCEL,"2022-07-18 07:25:36","2022-07-20 07:30:00",,"Сильные стороны:

Слабые стороны:

"
783,291,10937,,SPT-15679,2,TECH,ReactNative,RUSSIAN,M1,DONE,"2022-07-18 07:19:25","2022-07-19 08:00:00",95.0,"Сильные стороны:
- знает архитектурные паттерны и готов к самостоятельной работе
- всегда закрывает пробелы с прошлых интервью: например, после прошлого прогона выучил Битрайз, чтобы настраивать CI/CD
- хороший практический опыт в React Native и React: в курсе трендов, интересуется новыми технологиями, знает несколько решений для архитектуры приложений
- есть теоретические знания о публикации приложений в сторы
- уверенные знания JS

Слабые стороны:
- нужна будет помощь в сподключением нативных модулей: например, оплата картой и usedesc
- нужна помощь с публикацией приложений в сторы
"
